code,name,numero_muestras,positive,negative,longitude,latitude
25743,SILVANIA,42,0,42,-74.4055246172,4.3819448056
25745,SIMIJACA,222,11,211,-73.8503228188,5.5054287938
25754,SOACHA,1798,62,984,-74.2154309452,4.57939176705
25769,SUBACHOQUE,908,26,828,-74.1727096099,4.92907887681
25772,SUESCA,1406,37,1359,-73.7982887059,5.1035175118
25779,SUSA,552,2,550,-73.8140048231,5.45486633706
25785,TABIO,13,0,13,-74.0961796864,4.91720363832
25785,TABIO,1309,29,908,-74.0961796864,4.91720363832
25793,TAUSA,56,10,46,-73.8864782256,5.19655208391
25799,TENJO,1950,30,1398,-74.1439551406,4.87195981007
25815,TOCAIMA,33,0,33,-74.6363056249,4.45927226504
25845,UNE,73,10,63,-74.0251807261,4.40245072334
47675,SALAMINA,38,0,38,-74.7941894058,10.4912293928
50001,VILLAVICENCIO,467,1,466,-73.624562528,4.1238593011
50001,VILLAVICENCIO,817,36,781,-73.624562528,4.1238593011
50226,CUMARAL,102,25,77,-73.4861069057,4.26953744789
50226,CUMARAL,1486,96,1390,-73.4861069057,4.26953744789
50577,PUERTO LLERAS,90,0,90,-73.3738481508,3.27211893514
50606,RESTREPO,298,0,298,-73.5646064827,4.26072972714
50680,SAN CARLOS DE GUAROA,178,1,177,-73.2414110088,3.71053695717
50680,SAN CARLOS DE GUAROA,101,0,101,-73.2414110088,3.71053695717
52001,PASTO,841,56,776,-77.27877597,1.21245507293
52022,ALDANA,408,6,402,-77.7003576715,0.882181786542
52022,ALDANA,444,18,393,-77.7003576715,0.882181786542
52110,BUESACO,122,2,120,-77.1564755847,1.38144599558
52227,CUMBAL,372,13,360,-77.7922761776,0.906185196967
52227,CUMBAL,4970,367,4596,-77.7922761776,0.906185196967
52317,GUACHUCAL,420,12,408,-77.7315945908,0.959739983939
52317,GUACHUCAL,4926,259,4578,-77.7315945908,0.959739983939
52356,IPIALES,258,5,253,-77.6463999012,0.827735060636
52585,PUPIALES,5,0,5,-77.63350443,0.867138527
52585,PUPIALES,1069,29,1013,-77.63350443,0.867138527
52720,SAPUYES,232,2,230,-77.6202980414,1.03752383941
52720,SAPUYES,609,16,594,-77.6202980414,1.03752383941
52788,TANGUA,7,0,7,-77.3926919626,1.0948780282
52788,TANGUA,418,19,399,-77.3926919626,1.0948780282
52885,YACUANQUER,27,0,27,-77.4004765826,1.11579938415
54385,LA ESPERANZA,305,4,301,-73.3278977166,7.63999106968
63001,ARMENIA,17,0,17,-75.6807545438,4.535987208
63190,CIRCASIA,1136,2,914,-75.6365262734,4.61779473259
63272,FILANDIA,5,0,5,-75.6586823883,4.67414703386
63401,LA TEBAIDA,222,0,110,-75.786460159,4.45365278508
63470,MONTENEGRO,390,4,386,-75.7498287033,4.56505578418
63594,QUIMBAYA,2,0,2,-75.7650742652,4.62438412181
63690,SALENTO,217,1,216,-75.5708458112,4.63715372291
66001,PEREIRA,2692,50,2473,-75.7190152322,4.80532287092
66075,BALBOA,51,0,51,-75.9586806381,4.94900740381
66383,LA CELIA,5,0,5,-76.0030868756,5.00286711372
66400,LA VIRGINIA,20,0,20,-75.8802026174,4.89654777308
66682,SANTA ROSA DE CABAL,150,0,150,-75.6234918103,4.87640374593
66687,SANTUARIO,2,0,2,-75.9645220611,5.07493802723
68081,BARRANCABERMEJA,1038,26,1012,-73.8499567312,7.06496573153
68092,BETULIA,32,1,31,-73.2836713462,6.89952350256
68169,CHARTA,17,0,17,-72.9687942408,7.28081908866
68190,CIMITARRA,273,12,261,-73.9525715248,6.32063022524
68264,ENCINO,81,13,56,-73.0987358142,6.13741450884
68276,FLORIDABLANCA,46,0,46,-73.0990307075,7.07236450273
68320,GUADALUPE,5,0,5,-73.4192939265,6.24584325297
68406,LEBRIJA,3152,1,450,-73.2195525933,7.11335571687
68418,LOS SANTOS,6,0,6,-73.1026597725,6.75517251979
68500,OIBA,240,10,230,-73.2997849665,6.26517211387
68524,PALMAS DEL SOCORRO,289,0,289,-73.287762166,6.40613939878
68547,PIEDECUESTA,13,3,10,-73.0545933904,6.99735677431
68547,PIEDECUESTA,2202,41,2157,-73.0545933904,6.99735677431
68549,PINCHOTE,61,0,0,-73.1729190191,6.53206093514
68573,PUERTO PARRA,42,2,40,-74.0560908372,6.65080789008
68575,PUERTO WILCHES,512,14,469,-73.899334022,7.349066143
68615,RIONEGRO,164,8,151,-73.150142083,7.26500895024
68655,SABANA DE TORRES,1745,7,228,-73.4990518794,7.39191179389
68679,SAN GIL,25,0,25,-73.1351665257,6.55295530633
68745,SIMACOTA,56,3,53,-73.3373665723,6.44346957242
68755,SOCORRO,121,0,121,-73.2611960328,6.46385144732
68770,SUAITA,159,6,153,-73.438416356,6.10353145
70215,COROZAL,479,0,479,-75.2931493701,9.31910061656
70418,LOS PALMITOS,12,0,12,-75.268750942,9.3802289505
73026,ALVARADO,472,7,444,-74.9535551796,4.56734522829
73030,AMBALEMA,1214,8,1206,-74.7644428804,4.78263242067
73055,ARMERO,341,3,338,-74.8844145941,5.03067791424
73067,ATACO,157,1,156,-75.3825339259,3.59063460119
73168,CHAPARRAL,257,0,257,-75.4807434103,3.72306834875
73200,COELLO,21,3,18,-74.8984673202,4.28728335548
73275,FLANDES,694,48,636,-74.8187677213,4.2763717138
73319,GUAMO,117,2,115,-74.9681289601,4.03100475679
73349,HONDA,137,1,136,-74.741577974,5.2015089
73547,PIEDRAS,59,0,59,-74.8780727204,4.54390984155
76001,CALI,138,0,0,-76.5215601611,3.4144187719
76041,ANSERMANUEVO,290,1,289,-75.9919821845,4.79492075239
76054,ARGELIA,2,0,2,-76.1199028275,4.72695251407
76111,GUADALAJARA DE BUGA,752,4,523,-76.2989614887,3.90082284434
76113,BUGALAGRANDE,629,0,227,-76.1568083286,4.20833111175
76122,CAICEDONIA,132,0,132,-75.8303183393,4.33460564018
76126,CALIMA,167,1,115,-76.4843909802,3.93352588351
76147,CARTAGO,861,14,847,-75.942264044,4.758755097
76306,GINEBRA,59,0,0,-76.2680666157,3.72418135814
76497,OBANDO,751,13,738,-75.9746885479,4.57572205449
76606,RESTREPO,13,1,12,-76.5231163453,3.82134249406
76670,SAN PEDRO,6,0,0,-76.2285395519,3.99499221389
76736,SEVILLA,190,7,183,-75.9316229697,4.27071412891
76823,TORO,3,0,3,-76.0768506524,4.60808704867
76845,ULLOA,524,0,524,-75.7378129291,4.7036280475
76869,VIJES,347,0,347,-76.4419648892,3.69858937984
76895,ZARZAL,1004,15,960,-76.0708484414,4.39262199427
85001,YOPAL,974,11,923,-72.3969155417,5.32761201728
85010,AGUAZUL,2,1,1,-72.5463004198,5.17269004261
85162,MONTERREY,19,0,8,-72.8950348515,4.87684630992
85250,PAZ DE ARIPORO,157,0,157,-71.8909234158,5.88003712521
